时间,季度,市公司,销量（箱）,销额（元）
2006,一季度,六盘水市,20410.03468,229190002.2
2006,一季度,毕节市,43682.06544,391750923.1
2006,一季度,贵阳市,38516.623,493686370.7
2006,一季度,遵义市,48441.61312,490306455.7
2006,一季度,铜仁市,21379.69552,199970753.1
2006,一季度,黔东南州,25389.78612,216841469
2006,一季度,黔南州,29371.4692,256395015
2006,一季度,黔西南州,20556.87088,175131187.6
2006,三季度,六盘水市,20704.47598,238016898.5
2006,三季度,毕节市,34445.23,324249886.5
2006,三季度,贵阳市,42778.8238,553828818
2006,三季度,遵义市,45211.34656,455663423
2006,三季度,铜仁市,18118.4604,167390095
2006,三季度,黔东南州,21820.983,183452448
2006,三季度,黔南州,25981.4192,229029327.6
2006,三季度,黔西南州,16886.40154,156306661.4
2006,二季度,六盘水市,18793.8931,209470058.1
2006,二季度,毕节市,33916.2404,305864054.2
2006,二季度,贵阳市,40682.2482,500298389
2006,二季度,遵义市,41365.7827,413499899.5
2006,二季度,铜仁市,17059.4071,157524575.5
2006,二季度,黔东南州,19821.40256,166613948.6
2006,二季度,黔南州,22482.748,195322998.2
2006,二季度,黔西南州,15781.70584,137863580
2006,四季度,六盘水市,20502.59204,241059423.8
2006,四季度,毕节市,36441.011,352059593
2006,四季度,贵阳市,43869.5711,556460147
2006,四季度,遵义市,44625.348,457679253
2006,四季度,铜仁市,20099.4607,186852066
2006,四季度,黔东南州,23260.59,199972123.8
2006,四季度,黔南州,21100.8936,191524063
2006,四季度,黔西南州,17807.0375,162380531.3
2007,一季度,六盘水市,23175.53976,291059403.5
2007,一季度,毕节市,46547.051,473797447.6
2007,一季度,贵阳市,43506.3216,631161733.5
2007,一季度,遵义市,52889.196,584367688.5
2007,一季度,铜仁市,23602.752,244942332.5
2007,一季度,黔东南州,26510.521,251540981
2007,一季度,黔南州,30860.8112,294134824
2007,一季度,黔西南州,23653.158,221670263
2007,三季度,六盘水市,22160.37732,291137384.5
2007,三季度,毕节市,37605.954,392829254.5
2007,三季度,贵阳市,48243.5482,710128102.5
2007,三季度,遵义市,47529.656,557572501.5
2007,三季度,铜仁市,18539.356,200053349.5
2007,三季度,黔东南州,22092.076,216003155.3
2007,三季度,黔南州,26652.5092,259042862.6
2007,三季度,黔西南州,17588.2105,179402107
2007,二季度,六盘水市,20314.50474,251841163.2
2007,二季度,毕节市,36275.967,362193837
